Contact Chart,PRE,,,,,,,,,,,,,,,,,,,,,,,,
a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z
H,A,I,N,H,O,N,T,T,B,C,A,O,I,T,M,E,E,E,A,O,I,O,E,L,I
E,I,E,E,R,I,I,C,H,A,A,L,E,A,I,O,I,O,I,I,S,E,E,I,R,A
R,O,A,A,T,E,A,W,R,N,R,E,I,O,C,A,S,A,A,S,T,A,T,A,T,E
M,M,N,I,S,F,U,S,L,O,O,I,A,E,R,S,N,U,N,N,B,O,A,O,A,N
C,U,U,L,L,A,E,G,S,D,N,O,R,U,F,E,C,P,U,C,C,R,S,U,B,T
T,E,O,O,V,N,R,P,D,E,I,U,U,R,H,P,A,T,S,O,D,N,R,X,E,O
L,R,S,R,M,L,O,E,W,I,S,P,M,W,N,U,O,I,R,E,Q,L,L,N,N,Z
W,B,R,U,D,R,D,O,N,R,L,B,S,N,S,I,R,F,T,U,L,D,D,R,M,U
N,S,C,D,N,U,G,R,M,U,E,C,N,G,L,X,D,G,O,R,R,B,N,L,S,Y
P,L,X,Y,C,S,L,A,A,S,U,T,T,K,P,R,H,C,L,T,A,U,H,Y,D,C
I,H,T,S,B,T,Y,N,F,K,W,R,Y,H,M,Y,X,R,D,H,M,X,Y,T,H,R
S,N,Y,W,P,M,K,D,C,L,P,F,L,Y,W,L,U,B,Y,L,P,S,K,P,C,L
F,Y,L,G,G,D,S,X,V,T,T,N,D,T,O,N,L,D,M,P,F,T,P,D,O,H
D,D,M,H,I,H,T,K,E,J,K,G,P,S,B,T,T,H,P,F,G,M,G,M,G,S
G,T,D,B,E,X,M,I,G,C,D,S,H,M,D,D,Q,W,G,X,N,H,I,C,P,P
B,P,B,C,W,W,C,L,P,M,Y,D,G,D,Y,C,P,L,K,B,H,P,M,F,F,G
V,W,H,T,F,K,F,U,B,P,G,W,B,L,G,W,Z,N,B,Y,J,C,B,B,K,D
U,K,P,P,K,P,P,B,U,F,H,Y,C,B,E,K,M,Y,W,G,E,Y,U,G,V,B
O,C,W,M,U,C,H,Z,K,H,M,H,K,P,V,H,Y,S,C,W,I,Z,W,K,U,M
X,G,F,K,Y,G,B,M,O,G,F,K,W,C,J,B,B,M,H,D,X,K,F,S,X,V
J,F,V,F,J,Y,Z,H,X,W,B,M,F,F,U,G,G,K,F,M,K,V,X,V,W,F
Z,Z,G,V,Z,B,V,Y,Y,V,J,Z,X,V,Z,F,V,V,V,K,V,J,Z,H,Z,J
K,V,K,J,O,J,W,F,I,Y,Z,X,Z,Z,K,J,K,J,Z,Z,Z,G,C,J,I,K
Y,X,J,Z,X,V,J,J,Z,X,V,V,J,J,A,V,F,Z,Q,V,Y,F,J,Q,Y,X
A,J,Z,Q,A,Q,X,V,J,Z,X,Q,V,Q,X,Z,J,Q,J,J,U,Q,V,W,J,Q
Q,Q,Q,X,Q,Z,Q,Q,Q,Q,Q,J,Q,X,Q,Q,W,X,X,Q,W,W,Q,Z,Q,W
